Time,Observation,Reward,Action
20180912-130033,"[0.         0.02248289 0.         0.00879765 0.         0.00097752
 0.         0.00488759 0.         0.00879765 0.         0.00977517
 0.         0.02737048 0.         0.01661779 0.         0.00195503
 0.         0.00293255 0.         0.0058651  0.         0.00097752
 0.         0.02248289 0.         0.02052786 0.         0.00782014
 0.         0.0058651  0.         0.00879765 0.         0.00977517
 0.         0.02737048 0.         0.01661779 0.         0.00195503
 0.         0.01173021 0.         0.01270772 0.         0.00684262
 0.         0.00293255 0.         0.03323558 0.         0.00782014
 0.         0.01857283 0.         0.01075269 0.         0.0058651
 0.         0.01075269 0.         0.01075269 0.         0.01368524
 0.         0.00391007 0.         0.00782014 0.         0.0058651
 0.         0.0058651  0.         0.01759531 0.         0.00684262
 0.         0.00684262 0.         0.00195503 0.         0.00488759
 0.         0.00391007 0.         0.01955034 0.         0.00195503
 0.         0.00293255 0.         0.0058651  0.         0.0058651 ]",0.11999022482893446,"[-0.98029405 -0.92695695 -0.3911013   0.24839982 -0.36803478 -0.46340227
  0.06242333 -0.31999055 -0.7146757  -0.41707498  0.24384892  0.7231836
  0.46759722  0.7905692   0.71374243 -0.20556578  0.12256959]"
20180912-130035,"[0.         0.0058651  0.         0.01857283 0.         0.01075269
 0.         0.00391007 0.         0.00684262 0.         0.00879765
 0.         0.01661779 0.         0.01270772 0.         0.00195503
 0.         0.01173021 0.         0.00879765 0.         0.01759531
 0.         0.0058651  0.         0.03225806 0.         0.00684262
 0.         0.0058651  0.         0.01368524 0.         0.01075269
 0.         0.00684262 0.         0.01270772 0.         0.03128055
 0.         0.01173021 0.         0.00488759 0.         0.01564027
 0.         0.00684262 0.         0.00977517 0.         0.00391007
 0.         0.00684262 0.         0.01173021 0.         0.01564027
 0.         0.00879765 0.         0.01466276 0.         0.01270772
 0.         0.00977517 0.         0.01270772 0.         0.01368524
 0.         0.00684262 0.         0.00879765 0.         0.00097752
 0.         0.00195503 0.         0.00195503 0.         0.01564027
 0.         0.00488759 0.         0.01466276 0.         0.00195503
 0.         0.00977517 0.         0.00195503 0.         0.01368524]",0.12316715542521987,"[-0.44572794 -0.41195026  0.24656864  0.38882518 -0.9817984  -0.5930162
 -0.882967   -0.85521686 -0.10063469  0.11158877  0.1887752  -0.5351564
 -0.26475096  0.5703435  -0.6808823   0.5299218   0.7591826 ]"
20180912-130037,"[0.         0.00782014 0.         0.01857283 0.         0.0058651
 0.         0.00977517 0.         0.01368524 0.         0.01564027
 0.         0.01173021 0.         0.02052786 0.         0.00195503
 0.         0.03128055 0.         0.01075269 0.         0.01368524
 0.         0.02052786 0.         0.03323558 0.         0.0058651
 0.         0.00977517 0.         0.00488759 0.         0.01173021
 0.         0.01857283 0.         0.01759531 0.         0.00391007
 0.         0.00488759 0.         0.01270772 0.         0.00391007
 0.         0.01661779 0.         0.01173021 0.         0.00782014
 0.         0.00488759 0.         0.01270772 0.         0.00391007
 0.         0.00977517 0.         0.00782014 0.         0.01564027
 0.         0.01075269 0.         0.01368524 0.         0.00782014
 0.         0.00097752 0.         0.00977517 0.         0.00488759
 0.         0.00293255 0.         0.01075269 0.         0.00097752
 0.         0.00782014 0.         0.01368524 0.         0.00097752
 0.         0.00097752 0.         0.01368524 0.         0.00684262]",0.12658846529814266,"[ 0.00027879  0.00102212  0.00181539  0.00173346 -0.00083747 -0.00251901
  0.0010922  -0.00555423 -0.00325632 -0.00167108  0.00051832 -0.00101631
 -0.00017187  0.00609885  0.00111505 -0.00223551  0.00150665]"
20180912-130039,"[0.         0.00782014 0.         0.01075269 0.         0.01173021
 0.         0.00488759 0.         0.01661779 0.         0.00391007
 0.         0.00782014 0.         0.01368524 0.         0.00195503
 0.         0.0058651  0.         0.01368524 0.         0.00684262
 0.         0.00684262 0.         0.03225806 0.         0.00684262
 0.         0.00879765 0.         0.01368524 0.         0.00782014
 0.         0.01075269 0.         0.01955034 0.         0.01270772
 0.         0.05669599 0.         0.01759531 0.         0.0058651
 0.         0.0058651  0.         0.00977517 0.         0.00684262
 0.         0.00977517 0.         0.00977517 0.         0.01466276
 0.         0.01661779 0.         0.00977517 0.         0.01173021
 0.         0.03519062 0.         0.01368524 0.         0.01368524
 0.         0.00293255 0.         0.03030303 0.         0.00488759
 0.         0.0058651  0.         0.00977517 0.         0.01368524
 0.         0.00293255 0.         0.0058651  0.         0.00097752
 0.         0.00097752 0.         0.00684262 0.         0.00195503]",0.13734115347018566,"[-1.1098975e-03  5.3982325e-03 -6.4369710e-03  5.2290579e-04
 -6.2587345e-03 -6.0870675e-03 -8.8197633e-04 -1.2857884e-03
  7.6278920e-05 -2.2051912e-05 -6.1102398e-03 -1.5506599e-03
 -7.1437086e-04  4.0540346e-03 -4.2714857e-04 -4.7803479e-03
 -2.4351827e-03]"
20180912-130042,"[0.         0.0058651  0.         0.0342131  0.         0.00684262
 0.         0.00977517 0.         0.01075269 0.         0.01075269
 0.         0.00684262 0.         0.02639296 0.         0.02932551
 0.         0.01173021 0.         0.01270772 0.         0.00488759
 0.         0.00782014 0.         0.01173021 0.         0.0058651
 0.         0.0058651  0.         0.00879765 0.         0.01270772
 0.         0.00684262 0.         0.00488759 0.         0.01466276
 0.         0.00879765 0.         0.00684262 0.         0.00391007
 0.         0.00782014 0.         0.02052786 0.         0.00391007
 0.         0.0058651  0.         0.00488759 0.         0.00293255
 0.         0.03128055 0.         0.00391007 0.         0.00097752
 0.         0.00684262 0.         0.00293255 0.         0.00195503
 0.         0.01368524 0.         0.02052786 0.         0.00391007
 0.         0.0058651  0.         0.01075269 0.         0.0058651
 0.         0.03128055 0.         0.00391007 0.         0.00097752
 0.         0.00684262 0.         0.00782014 0.         0.00195503]",0.11901270772238506,"[ 0.00222248  0.00292419 -0.00227759  0.00289971 -0.00316091 -0.00535499
  0.0059464  -0.00487508 -0.00684961 -0.00067568  0.00478328  0.00100771
  0.00032524  0.00423324  0.00336959 -0.00386831  0.00239463]"
20180912-130044,"[0.         0.00879765 0.         0.02248289 0.         0.00782014
 0.         0.00684262 0.         0.02541544 0.         0.00684262
 0.         0.00684262 0.         0.00684262 0.         0.00293255
 0.         0.02346041 0.         0.01075269 0.         0.00488759
 0.         0.00782014 0.         0.03714565 0.         0.00879765
 0.         0.00684262 0.         0.0058651  0.         0.0058651
 0.         0.01173021 0.         0.00488759 0.         0.01270772
 0.         0.01173021 0.         0.00684262 0.         0.01173021
 0.         0.0058651  0.         0.02150538 0.         0.00391007
 0.         0.01270772 0.         0.01955034 0.         0.00488759
 0.         0.01564027 0.         0.00684262 0.         0.00293255
 0.         0.0058651  0.         0.01173021 0.         0.0058651
 0.         0.00684262 0.         0.02150538 0.         0.01075269
 0.         0.00293255 0.         0.00879765 0.         0.00195503
 0.         0.00782014 0.         0.00391007 0.         0.00097752
 0.         0.00195503 0.         0.0058651  0.         0.00391007]",0.11510263929618761,"[ 9.4660145e-04  4.3501314e-03 -2.2095733e-03  1.2034883e-03
 -3.4047577e-03 -4.0469137e-03  6.1081420e-04 -5.3834342e-03
 -2.7105347e-03 -1.9671544e-03 -3.8176216e-04 -6.1715828e-06
  2.2979142e-04  6.7183068e-03  5.4039764e-03 -3.1705911e-03
  1.9645423e-03]"
20180912-130046,"[0.         0.00488759 0.         0.01368524 0.         0.00684262
 0.         0.02248289 0.         0.01466276 0.         0.00488759
 0.         0.02443793 0.         0.00488759 0.         0.00195503
 0.         0.01368524 0.         0.01955034 0.         0.00488759
 0.         0.00097752 0.         0.01270772 0.         0.0058651
 0.         0.00195503 0.         0.00195503 0.         0.00293255
 0.         0.02443793 0.         0.00097752 0.         0.00195503
 0.         0.0058651  0.         0.0058651  0.         0.00097752
 0.         0.01661779 0.         0.02443793 0.         0.00684262
 0.         0.00684262 0.         0.01173021 0.         0.01564027
 0.         0.02443793 0.         0.01368524 0.         0.00391007
 0.         0.0058651  0.         0.00684262 0.         0.01075269
 0.         0.01661779 0.         0.05278592 0.         0.00782014
 0.         0.0058651  0.         0.00684262 0.         0.04105572
 0.         0.00684262 0.         0.00293255 0.         0.03225806
 0.         0.00097752 0.         0.00684262 0.         0.00293255]",0.13367546432062558,"[ 2.8652656e-03  2.4186752e-03 -1.0266943e-02 -2.7784701e-03
 -2.4194494e-03  2.5428017e-04  1.6461620e-04 -9.1249053e-04
 -4.9258438e-03  5.8350251e-03 -2.7119364e-03  1.6532905e-03
 -3.3744935e-05  4.6465918e-03  9.5549907e-04 -6.5543638e-03
 -3.2509516e-03]"
20180912-130048,"[0.         0.00293255 0.         0.09286413 0.         0.00879765
 0.         0.00879765 0.         0.01368524 0.         0.06353861
 0.         0.028348   0.         0.01270772 0.         0.00195503
 0.         0.00488759 0.         0.00977517 0.         0.00391007
 0.         0.00488759 0.         0.12218964 0.         0.01075269
 0.         0.02737048 0.         0.01173021 0.         0.00879765
 0.         0.01075269 0.         0.00391007 0.         0.01173021
 0.         0.00977517 0.         0.01857283 0.         0.00684262
 0.         0.00488759 0.         0.09579668 0.         0.01173021
 0.         0.01173021 0.         0.00977517 0.         0.0058651
 0.         0.01466276 0.         0.01661779 0.         0.00293255
 0.         0.0058651  0.         0.00977517 0.         0.00293255
 0.         0.00293255 0.         0.09286413 0.         0.00488759
 0.         0.         0.         0.00391007 0.         0.00293255
 0.         0.00977517 0.         0.00391007 0.         0.00097752
 0.         0.00391007 0.         0.00782014 0.         0.00391007]",0.2074780058651026,"[ 0.33523563  0.8380676   0.79510105 -0.12373439 -0.60723615 -0.12750484
 -0.9704542   0.6748905  -0.542447    0.51222044 -0.73879033 -0.8655855
  0.534424    0.948706   -0.87904745 -0.07047886  0.5854319 ]"
20180912-130050,"[0.         0.00293255 0.         0.09188661 0.         0.0058651
 0.         0.00488759 0.         0.0058651  0.         0.0058651
 0.         0.00684262 0.         0.00195503 0.         0.00097752
 0.         0.00391007 0.         0.00293255 0.         0.00097752
 0.         0.00391007 0.         0.18181818 0.         0.0058651
 0.         0.00488759 0.         0.00684262 0.         0.0058651
 0.         0.00684262 0.         0.00684262 0.         0.00195503
 0.         0.01173021 0.         0.0058651  0.         0.00488759
 0.         0.0058651  0.         0.20039101 0.         0.00879765
 0.         0.01564027 0.         0.00782014 0.         0.02346041
 0.         0.01075269 0.         0.01661779 0.         0.01759531
 0.         0.00879765 0.         0.00782014 0.         0.00391007
 0.         0.01759531 0.         0.03030303 0.         0.00879765
 0.         0.0058651  0.         0.00782014 0.         0.01075269
 0.         0.00684262 0.         0.00391007 0.         0.00097752
 0.         0.01857283 0.         0.01759531 0.         0.00293255]",0.21041055718475066,"[-0.00664903  0.02088751 -0.01436487 -0.00242785 -0.00318582 -0.0180744
  0.00637739 -0.01492383 -0.00133352  0.0032254  -0.01995389  0.00012574
  0.01548142  0.00526257 -0.00214114 -0.00993289  0.00732447]"
20180912-130052,"[0.         0.01759531 0.         0.00782014 0.         0.00488759
 0.         0.01661779 0.         0.0058651  0.         0.01075269
 0.         0.00195503 0.         0.00195503 0.         0.00097752
 0.         0.00977517 0.         0.00488759 0.         0.01075269
 0.         0.01661779 0.         0.01955034 0.         0.00782014
 0.         0.00293255 0.         0.01075269 0.         0.01955034
 0.         0.00684262 0.         0.0058651  0.         0.00488759
 0.         0.00879765 0.         0.01564027 0.         0.00391007
 0.         0.0058651  0.         0.03323558 0.         0.00684262
 0.         0.00488759 0.         0.00782014 0.         0.00782014
 0.         0.00684262 0.         0.01564027 0.         0.01857283
 0.         0.00195503 0.         0.00879765 0.         0.00293255
 0.         0.00097752 0.         0.01857283 0.         0.00977517
 0.         0.00195503 0.         0.01857283 0.         0.0058651
 0.         0.00488759 0.         0.00195503 0.         0.0058651
 0.         0.         0.         0.00391007 0.         0.01173021]",0.10557184750733134,"[ 0.00147556  0.00386463 -0.00327132  0.00087304 -0.00173398 -0.00441946
  0.00271376 -0.00406662 -0.00061663 -0.00039845 -0.0015686   0.00027547
 -0.00136181  0.00146993  0.00049094 -0.00391023 -0.00018047]"
