Wall time,Step,Value
1536863472.9971223,7,0.22776149213314056
1536863494.197002,17,0.29398825764656067
1536863500.559377,20,0.18132942914962769
1536863513.2930858,26,0.20967741310596466
1536863547.2296848,42,0.4455034136772156
1536863551.4702802,44,0.5320137143135071
1536863555.7108362,46,0.5080645084381104
1536863557.8266275,47,0.5909090638160706
1536863562.0622058,49,0.8306451439857483
1536863574.7839344,55,0.3629032373428345
1536863576.9037218,56,0.2695503532886505
1536863581.1472962,58,0.45625612139701843
1536863601.7265303,67,0.45601174235343933
1536863615.626584,73,0.30889540910720825
1536863617.8193312,74,0.30645161867141724
1536863620.0311077,75,0.3174486756324768
1536863622.176879,76,0.4806940257549286
1536863633.0016909,81,0.34408602118492126
1536863650.2488308,89,0.37609970569610596
1536863666.1547382,96,0.3198924660682678
1536863684.6471667,104,0.3333333432674408
1536863691.2613873,107,0.25928640365600586
1536863693.3961651,108,0.21945258975028992
1536863708.630457,115,0.6957477927207947
1536863719.4772556,120,0.39589443802833557
1536863736.8773081,128,0.5975073575973511
1536863745.676278,132,0.5576735138893127
1536863765.4719613,141,0.27272728085517883
1536863769.8334696,143,0.30938416719436646
1536863772.042207,144,0.348240464925766
1536863789.6331487,152,0.32380253076553345
1536863800.8267493,157,0.20943303406238556
1536863807.3929973,160,0.3196480870246887
1536863827.4315414,169,0.2348484843969345
1536863829.6592677,170,0.24120233952999115
1536863850.725224,179,0.2974095940589905
1536863853.0259125,180,0.1981915980577469
1536863865.513771,185,0.24266862869262695
1536863870.6088579,187,0.25
1536863872.9904957,188,0.22751711308956146
1536863882.827873,192,0.25953078269958496
1536863902.9823525,200,0.2326490730047226
1536863922.7890272,208,0.2319159358739853
1536863925.1136994,209,0.2177419364452362
1536863927.5702958,210,0.28812316060066223
1536863937.5016353,214,0.2631964683532715
1536863965.076853,225,0.24657869338989258
1536863979.1717963,231,0.29276636242866516
1536863990.0995486,236,0.2810361683368683
1536863996.779729,239,0.34237536787986755
1536864023.1666467,251,0.2697947323322296
1536864036.5389996,257,0.4462365508079529
1536864048.694052,262,0.20845551788806915
1536864055.8509593,265,0.21456500887870789
1536864065.5274465,269,0.24217985570430756
1536864075.2348788,273,0.2492668628692627
1536864080.0111473,275,0.19770283997058868
1536864128.798258,294,0.27443793416023254
1536864140.5835197,299,0.24706745147705078
1536864143.0811033,300,0.2324046939611435
1536864155.1292048,305,0.2678396999835968
1536864165.3593569,309,0.24022482335567474
1536864168.0248325,310,0.21456500887870789
1536864173.6586137,312,0.30816227197647095
1536864195.862918,320,0.3863636255264282
1536864198.559377,321,0.42815250158309937
1536864214.1564603,327,0.22971652448177338
1536864216.562085,328,0.2338709682226181
1536864219.007687,329,0.22653958201408386
1536864226.3334992,332,0.24706745147705078
1536864248.5118217,341,0.2976539731025696
1536864272.1273205,349,0.35899314284324646
1536864313.2718005,365,0.23680351674556732
1536864323.0182273,369,0.22360703349113464
1536864337.353032,375,0.2663734257221222
1536864347.066481,379,0.28812316060066223
1536864351.937695,381,0.1688660830259323
1536864381.3278935,393,0.5542522072792053
1536864383.7684987,394,0.32869014143943787
1536864428.7447863,410,0.22971652448177338
1536864464.380417,423,0.182062566280365
1536864467.1128523,424,0.21138808131217957
1536864472.647704,426,0.24266862869262695
1536864489.5440288,432,0.20943303406238556
1536864514.6546733,441,0.19208210706710815
1536864520.407385,443,0.19525903463363647
1536864523.1198344,444,0.21285435557365417
1536864531.5590098,447,0.20601172745227814
1536864548.820142,453,0.22653958201408386
1536864572.879388,462,0.27346041798591614
1536864580.2022045,465,0.25806450843811035
1536864582.6358135,466,0.22336265444755554
1536864604.2894323,475,0.27565982937812805
1536864606.7590244,476,0.23607037961483002
1536864642.8943615,491,0.24193547666072845
1536864647.7046132,493,0.24095796048641205
1536864653.105525,495,0.22434017062187195
1536864688.478305,509,0.26026391983032227
1536864702.5242755,514,0.2011241465806961
1536864707.385495,516,0.25488758087158203
1536864714.7552817,519,0.20869989693164825
1536864734.0392573,527,0.22873900830745697
1536864748.2661242,533,0.264418363571167
1536864753.2292874,535,0.26050829887390137
1536864761.1647806,538,0.20430107414722443
1536864778.2720003,544,0.23558162152767181
1536864792.0381327,549,0.19183772802352905
1536864817.3076854,559,0.22140762209892273
1536864822.2268739,561,0.23020528256893158
1536864831.9713027,565,0.2653958797454834
1536864846.548969,571,0.2798142731189728
1536864856.1294918,575,0.24046920239925385
1536864858.5850887,576,0.22849462926387787
1536864870.4872997,581,0.24071358144283295
1536864875.419464,583,0.20332355797290802
1536864877.7971048,584,0.17375366389751434
1536864882.7043,586,0.29252198338508606
1536864887.5045626,588,0.2712610065937042
1536864889.9871364,589,0.23655913770198822
1536864901.7883966,594,0.2343597263097763
1536864904.2959561,595,0.23069404065608978
1536864932.5448072,604,0.2624633312225342
1536864947.4193046,610,0.25659823417663574
1536864952.242547,612,0.2514662742614746
1536864964.3646169,617,0.22043010592460632
1536864976.13489,622,0.21334311366081238
1536864981.005103,624,0.22482892870903015
1536865010.7111228,636,0.3194037079811096
1536865027.6304505,643,0.23044966161251068
1536865030.4038835,644,0.22653958201408386
1536865035.8497512,646,0.19696970283985138
1536865038.5831878,647,0.24486804008483887
1536865041.481531,648,0.20796675980091095
1536865044.38687,649,0.22043010592460632
1536865049.9227057,651,0.2003910094499588
1536865058.390864,654,0.2003910094499588
1536865069.4195595,658,0.22922776639461517
1536865083.5205207,663,0.2016129046678543
1536865092.4264283,666,0.20381231606006622
