Time,Observation,Reward,Action
20180912-140035,"[0.         0.00097752 0.         0.0058651  0.         0.00391007
 0.         0.00293255 0.         0.00097752 0.         0.00488759
 0.         0.00293255 0.         0.00293255 0.         0.00293255
 0.         0.00195503 0.         0.01759531 0.         0.00293255
 0.         0.00488759 0.         0.03910068 0.         0.00391007
 0.         0.00391007 0.         0.0058651  0.         0.01173021
 0.         0.02932551 0.         0.00684262 0.         0.00293255
 0.         0.00879765 0.         0.0058651  0.         0.01759531
 0.         0.00488759 0.         0.01075269 0.         0.00293255
 0.         0.00293255 0.         0.0058651  0.         0.00391007
 0.         0.00684262 0.         0.00391007 0.         0.00097752
 0.         0.0058651  0.         0.0058651  0.         0.01759531
 0.         0.00488759 0.         0.01075269 0.         0.00293255
 0.         0.00293255 0.         0.01173021 0.         0.00488759
 0.         0.00684262 0.         0.00391007 0.         0.00097752
 0.         0.0058651  0.         0.0058651  0.         0.01759531]",0.08577712609970671,[]
20180912-140038,"[0.         0.00293255 0.         0.01857283 0.         0.0058651
 0.         0.01075269 0.         0.00195503 0.         0.00782014
 0.         0.00782014 0.         0.02052786 0.         0.00097752
 0.         0.01075269 0.         0.01173021 0.         0.00782014
 0.         0.00391007 0.         0.03323558 0.         0.00391007
 0.         0.02150538 0.         0.00782014 0.         0.00488759
 0.         0.00879765 0.         0.00782014 0.         0.00097752
 0.         0.00977517 0.         0.00977517 0.         0.01270772
 0.         0.01857283 0.         0.028348   0.         0.0058651
 0.         0.02150538 0.         0.00684262 0.         0.00684262
 0.         0.00782014 0.         0.00391007 0.         0.00097752
 0.         0.00879765 0.         0.00782014 0.         0.00782014
 0.         0.01857283 0.         0.00782014 0.         0.0058651
 0.         0.00782014 0.         0.00195503 0.         0.00488759
 0.         0.00684262 0.         0.00391007 0.         0.00097752
 0.         0.00488759 0.         0.00782014 0.         0.00391007]",0.10826001955034208,[]
20180912-140041,"[0.         0.01857283 0.         0.01759531 0.         0.0058651
 0.         0.02052786 0.         0.01466276 0.         0.00879765
 0.         0.01955034 0.         0.01075269 0.         0.01466276
 0.         0.01270772 0.         0.00782014 0.         0.00684262
 0.         0.00293255 0.         0.01857283 0.         0.00684262
 0.         0.00391007 0.         0.00782014 0.         0.00977517
 0.         0.00488759 0.         0.00782014 0.         0.01173021
 0.         0.01075269 0.         0.00195503 0.         0.00684262
 0.         0.00488759 0.         0.02052786 0.         0.00782014
 0.         0.00684262 0.         0.00782014 0.         0.01075269
 0.         0.01564027 0.         0.00684262 0.         0.00195503
 0.         0.0058651  0.         0.00977517 0.         0.00684262
 0.         0.00488759 0.         0.01466276 0.         0.00488759
 0.         0.         0.         0.00391007 0.         0.01075269
 0.         0.00391007 0.         0.00097752 0.         0.00195503
 0.         0.00195503 0.         0.00097752 0.         0.00684262]",0.10337243401759526,[]
20180912-140044,"[0.         0.0058651  0.         0.0342131  0.         0.00782014
 0.         0.         0.         0.01368524 0.         0.02541544
 0.         0.00391007 0.         0.00195503 0.         0.00195503
 0.         0.00488759 0.         0.00488759 0.         0.00879765
 0.         0.00782014 0.         0.01564027 0.         0.00488759
 0.         0.00488759 0.         0.00488759 0.         0.01270772
 0.         0.00391007 0.         0.00488759 0.         0.01368524
 0.         0.02052786 0.         0.00293255 0.         0.01759531
 0.         0.00782014 0.         0.01270772 0.         0.
 0.         0.00391007 0.         0.00097752 0.         0.00977517
 0.         0.00391007 0.         0.00195503 0.         0.00195503
 0.         0.0058651  0.         0.00293255 0.         0.00782014
 0.         0.00782014 0.         0.01270772 0.         0.
 0.         0.00391007 0.         0.00097752 0.         0.0058651
 0.         0.00391007 0.         0.00195503 0.         0.00488759
 0.         0.0058651  0.         0.00293255 0.         0.00782014]",0.08651026392961873,[]
20180912-140047,"[0.         0.00391007 0.         0.01270772 0.         0.
 0.         0.00391007 0.         0.00195503 0.         0.02052786
 0.         0.02639296 0.         0.00097752 0.         0.00488759
 0.         0.0058651  0.         0.00097752 0.         0.00782014
 0.         0.00391007 0.         0.01564027 0.         0.00684262
 0.         0.01466276 0.         0.0058651  0.         0.02052786
 0.         0.02639296 0.         0.00293255 0.         0.00293255
 0.         0.01466276 0.         0.00097752 0.         0.01075269
 0.         0.00879765 0.         0.03323558 0.         0.00684262
 0.         0.00488759 0.         0.00195503 0.         0.00977517
 0.         0.01368524 0.         0.01857283 0.         0.01368524
 0.         0.00879765 0.         0.00684262 0.         0.02443793
 0.         0.00195503 0.         0.03323558 0.         0.
 0.         0.00488759 0.         0.00097752 0.         0.00684262
 0.         0.00195503 0.         0.00195503 0.         0.00097752
 0.         0.00879765 0.         0.00097752 0.         0.00391007]",0.10850439882697943,[]
20180912-140050,"[0.         0.0058651  0.         0.03323558 0.         0.00488759
 0.         0.01661779 0.         0.01564027 0.         0.00879765
 0.         0.00488759 0.         0.00391007 0.         0.0058651
 0.         0.01368524 0.         0.00097752 0.         0.00879765
 0.         0.00488759 0.         0.01270772 0.         0.00488759
 0.         0.00391007 0.         0.00293255 0.         0.01466276
 0.         0.01368524 0.         0.00488759 0.         0.00293255
 0.         0.00684262 0.         0.00488759 0.         0.01466276
 0.         0.00488759 0.         0.01173021 0.         0.0058651
 0.         0.00684262 0.         0.00684262 0.         0.00879765
 0.         0.01368524 0.         0.01270772 0.         0.00195503
 0.         0.00684262 0.         0.00391007 0.         0.01466276
 0.         0.00293255 0.         0.01564027 0.         0.00488759
 0.         0.00684262 0.         0.00195503 0.         0.00977517
 0.         0.0058651  0.         0.00488759 0.         0.00097752
 0.         0.00391007 0.         0.00293255 0.         0.00879765]",0.09579667644183767,[]
20180912-140053,"[0.         0.00195503 0.         0.01564027 0.         0.00488759
 0.         0.00488759 0.         0.00097752 0.         0.0058651
 0.         0.0058651  0.         0.02052786 0.         0.00097752
 0.         0.00391007 0.         0.00195503 0.         0.00195503
 0.         0.01661779 0.         0.0342131  0.         0.00782014
 0.         0.00684262 0.         0.00782014 0.         0.00879765
 0.         0.01564027 0.         0.01270772 0.         0.00977517
 0.         0.00684262 0.         0.00977517 0.         0.01857283
 0.         0.00879765 0.         0.05376344 0.         0.00488759
 0.         0.         0.         0.00879765 0.         0.00293255
 0.         0.00684262 0.         0.00391007 0.         0.00097752
 0.         0.00879765 0.         0.00684262 0.         0.00097752
 0.         0.02150538 0.         0.01466276 0.         0.00684262
 0.         0.01270772 0.         0.00879765 0.         0.00488759
 0.         0.00977517 0.         0.0058651  0.         0.00195503
 0.         0.0058651  0.         0.00684262 0.         0.00195503]",0.10850439882697942,[]
20180912-140055,"[0.         0.0058651  0.         0.01270772 0.         0.00195503
 0.         0.00684262 0.         0.01075269 0.         0.00879765
 0.         0.00488759 0.         0.00195503 0.         0.01955034
 0.         0.00097752 0.         0.00488759 0.         0.00097752
 0.         0.0058651  0.         0.03519062 0.         0.00684262
 0.         0.00977517 0.         0.01466276 0.         0.00977517
 0.         0.00782014 0.         0.00293255 0.         0.01955034
 0.         0.00391007 0.         0.00977517 0.         0.01075269
 0.         0.00391007 0.         0.01759531 0.         0.00684262
 0.         0.00977517 0.         0.01466276 0.         0.00782014
 0.         0.00391007 0.         0.00195503 0.         0.00097752
 0.         0.         0.         0.00977517 0.         0.01075269
 0.         0.00391007 0.         0.01759531 0.         0.00684262
 0.         0.00977517 0.         0.01466276 0.         0.00782014
 0.         0.00391007 0.         0.00195503 0.         0.00097752
 0.         0.         0.         0.00977517 0.         0.01075269]",0.0982404692082111,[]
20180912-140059,"[0.         0.00097752 0.         0.01759531 0.         0.00879765
 0.         0.         0.         0.01466276 0.         0.00879765
 0.         0.00684262 0.         0.00097752 0.         0.00097752
 0.         0.00391007 0.         0.00977517 0.         0.00097752
 0.         0.00097752 0.         0.01173021 0.         0.00879765
 0.         0.         0.         0.00293255 0.         0.00879765
 0.         0.00684262 0.         0.00097752 0.         0.00097752
 0.         0.         0.         0.00488759 0.         0.00097752
 0.         0.0058651  0.         0.01857283 0.         0.00684262
 0.         0.         0.         0.00977517 0.         0.00879765
 0.         0.0058651  0.         0.00391007 0.         0.01857283
 0.         0.00879765 0.         0.00488759 0.         0.00684262
 0.         0.00195503 0.         0.01857283 0.         0.00684262
 0.         0.00391007 0.         0.0058651  0.         0.00684262
 0.         0.00097752 0.         0.0058651  0.         0.00195503
 0.         0.00097752 0.         0.00782014 0.         0.00097752]",0.07086999022482893,[]
20180912-140102,"[0.         0.00195503 0.         0.02932551 0.         0.00684262
 0.         0.00391007 0.         0.00879765 0.         0.00684262
 0.         0.00293255 0.         0.0058651  0.         0.00195503
 0.         0.00097752 0.         0.00782014 0.         0.00293255
 0.         0.00391007 0.         0.01759531 0.         0.0058651
 0.         0.00391007 0.         0.01270772 0.         0.0058651
 0.         0.02541544 0.         0.0058651  0.         0.00195503
 0.         0.00488759 0.         0.00782014 0.         0.0058651
 0.         0.00293255 0.         0.01759531 0.         0.00684262
 0.         0.00684262 0.         0.0058651  0.         0.0058651
 0.         0.0058651  0.         0.00391007 0.         0.00195503
 0.         0.00488759 0.         0.01270772 0.         0.00782014
 0.         0.00391007 0.         0.01759531 0.         0.00391007
 0.         0.00195503 0.         0.01075269 0.         0.00391007
 0.         0.00782014 0.         0.00293255 0.         0.00097752
 0.         0.00097752 0.         0.0058651  0.         0.00293255]",0.0821114369501466,[]
